video_id,video_title,views,likes,year,duration_hms,publish_date,link,comments,comment_count,language_detected
2XVcLrB7B3Y,Worst Minecraft Saw Trap Ever???,33403135,1380908.0,2012,0:2:36,20120220,https://www.youtube.com/watch?v=2XVcLrB7B3Y,True,147000,en
jP82d277Cc8,Harry Potter Mod In Minecraft! EPIC MUST SEE MOD!!!,6465691,,2012,0:3:58,20120309,https://www.youtube.com/watch?v=jP82d277Cc8,True,9800,en
v1ELS84GQu8,If This Video Gets One Million Views.....,13337527,1171091.0,2013,0:0:45,20130907,https://www.youtube.com/watch?v=v1ELS84GQu8,True,71000,en
Z8nEEdXTaX0,Boxy item mod Minecraft.  EPIC,1687183,59261.0,2013,0:1:30,20130112,https://www.youtube.com/watch?v=Z8nEEdXTaX0,True,4400,en
Y74b7WlcEpk,More birds IN MINECRAFT!!,1434076,50232.0,2013,0:2:5,20130112,https://www.youtube.com/watch?v=Y74b7WlcEpk,True,3900,en
7qj3nuF9Dzw,Most Epic minecraft skin EVER  (Psy),1315127,45407.0,2013,0:0:30,20130113,https://www.youtube.com/watch?v=7qj3nuF9Dzw,True,3700,en
M82VAcabSiA,Scary minecraft pig skin!,1155397,38395.0,2013,0:0:28,20130113,https://www.youtube.com/watch?v=M82VAcabSiA,True,3300,en
t8aM4HuVLrQ,This is a block? Since when lol.,920796,34312.0,2013,0:0:52,20130121,https://www.youtube.com/watch?v=t8aM4HuVLrQ,True,4300,en
XVMY7B3AzWM,How Much Money Does PewDiePie Make?????,904123,15788.0,2013,0:5:32,20131112,https://www.youtube.com/watch?v=XVMY7B3AzWM,True,1400,de
IAbX0FwX-GY,Why I Haven't Been Uploading,881332,,2013,0:6:2,20130325,https://www.youtube.com/watch?v=IAbX0FwX-GY,True,1800,en
Yox25V8Qsm4,Crazy Illulsions In Minecraft. (Bigre),737069,25546.0,2013,0:2:35,20130127,https://www.youtube.com/watch?v=Yox25V8Qsm4,True,2600,en
uqjfMNEWNIg,Minecraft Let's Play! Ep. 1. The Beginning!,728044,25439.0,2013,0:18:26,20130708,https://www.youtube.com/watch?v=uqjfMNEWNIg,True,2600,en
Cs-kyTJso-A,Worlds Biggest Ball Of TNT Minecraft!  Challenge Video!,659058,19545.0,2013,0:1:44,20130809,https://www.youtube.com/watch?v=Cs-kyTJso-A,True,1600,en
ivdQqobHDPc,Story time!,655238,21089.0,2013,0:3:13,20130418,https://www.youtube.com/watch?v=ivdQqobHDPc,True,1600,en
6z5RwrvnH28,Huge WW2 jeep! Minecraft creations.,646850,19273.0,2013,0:1:4,20130421,https://www.youtube.com/watch?v=6z5RwrvnH28,True,2000,de
m3lTwO0aNyw,How to get unlimited diamonds! minecraft (x-ray),626673,25398.0,2013,0:2:13,20130126,https://www.youtube.com/watch?v=m3lTwO0aNyw,True,2300,en
gchqnwXlxJw,Drinks in minecraft (mod),608649,,2013,0:0:42,20130126,https://www.youtube.com/watch?v=gchqnwXlxJw,True,1800,en
